a52dec 0.7.4-11
aalib 1.4rc5-14
accounts-qml-module 0.7-3
accountsservice 0.6.55-3
acl 2.2.53-3
acpi 1.7-3
acpid 2.0.32-2
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adwaita-icon-theme 3.38.0-1
akonadi-contacts 20.12.1-1
alacritty 0.7.1-1
albert 0.17.2-1
alembic 1.7.16-1
alsa-card-profiles 14.2-1
alsa-firmware 1.2.4-2
alsa-lib 1.2.4-3
alsa-oss 1.1.8-3
alsa-plugins 1:1.2.2-2
alsa-topology-conf 1.2.4-2
alsa-ucm-conf 1.2.4-2
alsa-utils 1.2.4-2
amd-ucode 20210109.r1812.d528862-1
amdvlk 2021.Q1.1-1
android-tools 30.0.5-1
android-udev 20201003-1
ant 1.10.9-1
aom 2.0.1-1
apparmor 3.0.1-1
appimagelauncher 2.2.0-4
appstream 0.13.1-1
appstream-glib 0.7.18-2
appstream-qt 0.13.1-1
apr 1.7.0-3
apr-util 1.6.1-8
archlinux-appstream-data 20201223-1
archlinux-keyring 20210110-1
arduino-git 1.8.13.r15.g2fd594423-1
argon2 20190702-3
aribb24 1.0.3-3
ark 20.12.1-1
asciidoc 9.0.4-2
aspell 0.60.8-2
aspell-en 2019.10.06-1
astyle 3.1-3
at-spi2-atk 2.38.0-1
at-spi2-core 2.38.0-1
atk 2.36.0-1
atkmm 2.28.1-1
attica 5.78.0-1
attr 2.4.48-3
audiofile 0.3.6-6
audit 2.8.5-9
autoconf 2.69-7
automake 1.16.2-3
avahi 0.8+15+ge8a3dd0-3
avrdude 1:6.3-7
b43-fwcutter 019-3
babl 0.1.82-1
backintime 1.2.1-2
backintime-cli 1.2.1-2
baloo 5.78.0-1
baloo-widgets 20.12.1-1
bash 5.1.0-2
bashrc-manjaro 5.1.0-2
bashtop 0.9.25-1
bc 1.07.1-4
biber 1:2.15-1
bind 9.16.10-1
binutils 2.35.1-1
bison 3.7.2-1
blas 3.9.0-3
blender 17:2.91.0-9
blosc 1.20.1-1
bluedevil 1:5.20.5-1
bluez 5.55-1
bluez-libs 5.55-1
bluez-qt 5.78.0-1
bmake 20200902-1
boost 1.75.0-2
boost-libs 1.75.0-2
botan 2.17.3-1
breath2-icon-themes 1.0.10-2
breath2-wallpaper 1.0.10-2
breeze 5.20.5-1
breeze-icons 5.78.0-1
bridge-utils 1.7-1
brotli 1.0.9-4
btrfs-progs 5.9-3
bubblewrap 0.4.1-1
bzip2 1.0.8-4
c-ares 1.17.1-1
ca-certificates 20181109-4
ca-certificates-mozilla 3.60.1-1
ca-certificates-utils 20181109-4
cairo 1.17.4-3
cairomm 1.12.2-4
cantarell-fonts 1:0.301-1
cantata 2.4.2-1
cblas 3.9.0-3
ccache 4.1-1
cdparanoia 10.2-8
cdrdao 1.2.4-2
cdrtools 3.02a09-4
cef-minimal-3770-bin 75.1.14-1
ceph-libs 15.2.6-4
cfitsio 1:3.49-1
cheese 3.38.0-1
chromaprint 1.5.0-3
chromium 87.0.4280.141-1
cifs-utils 6.11-3
ckbcomp 1.194-1
clang 11.0.1-1
cloc 1.88-1
clonezilla 3.35.2-3
clucene 2.3.3.4-11
clutter 1.26.4-1
clutter-gst 3.0.27-3
clutter-gtk 1.8.4-2
cmake 3.19.3-1
cogl 1.22.8-1
coin 4.0.0.f4e446-1
colord 1.4.5-1
colord-gtk 0.2.0-2
colord-sane 1.4.5-1
compiler-rt 11.0.1-1
confuse 3.3-3
console-bridge 1.0.1-2
containerd 1.4.3-1
convertlit 1.8-10
coreutils 8.32-1
cowsay 3.04-2
cppcheck 2.3-2
cpupower 5.10-2
cracklib 2.9.7-2
crda 4.14-3
cronie 1.5.5-2
cryptsetup 2.3.4-1
cups 1:2.3.3op1-1
cups-filters 1.28.7-1
cups-pdf 3.0.1-5
cups-pk-helper 0.2.6-4
curl 7.74.0-1
dav1d 0.7.1-1
db 5.3.28-5
dbus 1.12.20-1
dbus-glib 0.110-2
dconf 0.38.0-1
deepin-desktop-base 2:2020.12.09-1
deepin-qt-dbus-factory 5.3.0.34-1
deepin-qt5integration 5.1.5-1
deepin-qt5platform-plugins 5.0.19-1
deepin-terminal 5.3.0.3-1
deepin-wallpapers 1:1.7.7-2
desktop-file-utils 0.26-1
device-mapper 2.02.187-3
dhclient 4.4.2-2
dhcpcd 9.4.0-1
diffutils 3.7-3
ding-libs 0.6.1-3
discord 0.0.13-1
discount 2.2.7-1
djvulibre 3.5.28-1
dkms 2.8.4-1
dmd 1:2.095.0-1
dmidecode 3.3-1
dmraid 1.0.0.rc16.3-12
dnsmasq 2.82-2
dnssec-anchors 20190629-3
docbook-xml 4.5-9
docbook-xsl 1.79.2-7
docker 1:20.10.2-1
dogecoin-qt 1.14.2-1
dolphin 20.12.1-1
dolphin-plugins 20.12.1-1
dos2unix 7.4.2-1
dosfstools 4.1-3
dotconf 1.3-6
double-conversion 3.1.5-2
doxygen 1.9.1-1
drbl 2.30.5-1
dtkcore 1:5.4.0-1
dtkgui 5.4.0-1
dtkwidget 5.4.1-1
dvd+rw-tools 7.1-9
e2fsprogs 1.45.6-3
ebook-tools 0.2.2-7
ecryptfs-utils 111-4
editorconfig-core-c 0.12.4-1
efibootmgr 17-2
efivar 37-4
eigen 3.3.9-1
elfutils 0.182-1
embree 3.12.1-1
emovix 0.9.0-8
enchant 2.2.13-2
esptool 3.0-1
etcher 1.5.114-1
ethtool 1:5.10-1
exfat-utils 1.3.0-2
exiv2 0.27.3-1
expat 2.2.10-2
f2fs-tools 1.14.0-1
faac 1.30-2
faad2 2.10.0-1
fail2ban 0.11.2-1
fakeroot 1.25.3-1
farstream 0.2.9-2
fd 8.2.1-1
ffmpeg 2:4.3.1-3
ffmpegthumbs 20.12.1-1
fftw 3.3.9-1
file 5.39-1
filelight 20.12.1-1
filesystem 2020.09-2
findutils 4.7.0-2
firefox 84.0.2-1
flac 1.3.3-2
flameshot 0.8.5-1
